src/features/app/components/LaunchScriptButton.tsx: controls=3, labels_or_aria=0
src/features/app/components/LaunchScriptEntryButton.tsx: controls=2, labels_or_aria=0
src/features/app/components/MainHeader.tsx: controls=2, labels_or_aria=0
src/features/app/components/PlanReadyFollowupMessage.tsx: controls=1, labels_or_aria=0
src/features/app/components/RequestUserInputMessage.tsx: controls=1, labels_or_aria=0
src/features/app/components/Sidebar.tsx: controls=1, labels_or_aria=0
src/features/app/components/WorkspaceCard.tsx: controls=1, labels_or_aria=0
src/features/composer/components/ComposerInput.tsx: controls=1, labels_or_aria=0
src/features/settings/components/sections/SettingsComposerSection.tsx: controls=1, labels_or_aria=0
src/features/settings/components/sections/SettingsDictationSection.tsx: controls=3, labels_or_aria=0
src/features/settings/components/sections/SettingsEnvironmentsSection.tsx: controls=2, labels_or_aria=0
src/features/settings/components/sections/SettingsFeaturesSection.tsx: controls=2, labels_or_aria=0
src/features/settings/components/sections/SettingsGitSection.tsx: controls=1, labels_or_aria=0
src/features/settings/components/sections/SettingsServerSection.tsx: controls=10, labels_or_aria=0
src/features/settings/components/sections/SettingsShortcutsSection.tsx: controls=1, labels_or_aria=0
src/features/shared/components/FileEditorCard.tsx: controls=1, labels_or_aria=0
src/features/skills/components/SkillsPanel.tsx: controls=1, labels_or_aria=0
src/features/threads/components/RenameThreadPrompt.tsx: controls=1, labels_or_aria=0
src/features/workspaces/components/ClonePrompt.tsx: controls=3, labels_or_aria=0
src/features/workspaces/components/WorkspaceHomeRunControls.tsx: controls=2, labels_or_aria=0
src/features/workspaces/components/WorktreePrompt.tsx: controls=4, labels_or_aria=0
